marker	LG	pos
103609_12225746	L2	0
32715_3860254	L2	4.4661102882308
compli_51942_6129040	L2	4.4661102882308
compli_65655_7747174	L2	4.4661102882308
54245_6400794	L2	8.79312286942532
compli_38736_4570732	L2	12.9622667752401
11924_1406916	L2	17.6593300748505
compli_31975_3772934	L2	17.6593300748505
compli_59592_7031740	L2	17.6593300748505
64560_7617964	L2	17.6593300748505
compli_93593_11043858	L2	17.6593300748505
99665_11760354	L2	17.6593300748505
109031_12865542	L2	17.6593300748505
62195_7338894	L2	21.9177529420574
75620_8923044	L2	29.042356150194
86562_10214200	L2	33.4520037812502
37395_4412494	L2	37.7685450489748
compli_15758_1859328	L2	39.2020664880836
compli_10072_1188380	L2	40.6310268340823
8899_1049966	L2	44.9272832572488
compli_85471_10085462	L2	44.9272832572488
compli_36816_4344172	L2	49.2235396804153
compli_4559_537846	L2	49.2235396804153
5912_697500	L2	49.2235396804153
compli_7173_846298	L2	49.2235396804153
compli_11325_1336234	L2	49.2235396804153
11476_1354052	L2	49.2235396804153
compli_12922_1524680	L2	49.2235396804153
compli_14568_1718908	L2	49.2235396804153
compli_16086_1898032	L2	49.2235396804153
25028_2953188	L2	49.2235396804153
27260_3216564	L2	49.2235396804153
32180_3797124	L2	49.2235396804153
37792_4459340	L2	49.2235396804153
compli_46799_5522166	L2	49.2235396804153
65706_7753192	L2	49.2235396804153
compli_66207_7812310	L2	49.2235396804153
compli_73552_8679020	L2	49.2235396804153
75161_8868882	L2	49.2235396804153
79487_9379350	L2	49.2235396804153
compli_83279_9826806	L2	49.2235396804153
compli_83616_9866572	L2	49.2235396804153
compli_86175_10168534	L2	49.2235396804153
86246_10176912	L2	49.2235396804153
91887_10842550	L2	49.2235396804153
compli_98208_11588428	L2	49.2235396804153
compli_100232_11827260	L2	49.2235396804153
compli_104241_12300322	L2	49.2235396804153
105167_12409590	L2	49.2235396804153
82030_9679424	L2	50.6542549044672
4959_585046	L2	52.0856720283271
77589_9155386	L2	53.5224615213256
compli_25654_3027056	L2	57.8368741523391
compli_33380_3938724	L2	57.8368741523391
compli_84387_9957550	L2	62.1522471574347
compli_73308_8650228	L2	66.4596199606172
77213_9111018	L2	66.4596199606172
35956_4242692	L2	70.7666894138794
99113_11695218	L2	80.8953772639289
3537_417250	L2	84.8997388395456
88810_10479464	L2	86.6230665871736
52436_6187332	L2	99.7753939845931
57556_6791492	L2	107.158769801986
3850_454184	L2	114.542559893212
16759_1977446	L2	114.542559893212
57615_6798454	L2	114.542559893212
80678_9519888	L2	114.542559893212
98108_11576628	L2	114.542559893212
18617_2196690	L2	121.735580724213
75886_8954432	L2	121.735580724213
81948_9669748	L2	121.735580724213
108818_12840408	L2	121.735580724213
5947_701630	L2	128.928378902885
26049_3073666	L2	128.928378902885
44096_5203212	L2	128.928378902885
75735_8936614	L2	128.928378902885
87594_10335976	L2	128.928378902885
51742_6105440	L2	133.224887089929
21605_2549274	L2	133.224887089929
94241_11120322	L2	133.224887089929
96457_11381810	L2	137.521146724175
101917_12026090	L2	137.521146724175
86648_10224348	L2	137.521146724175
compli_70044_8265076	L2	141.817406286426
compli_88163_10403118	L2	143.246369587549
compli_66162_7807000	L2	147.54262749392
compli_78181_9225242	L2	147.54262749392
compli_102569_12103026	L2	147.54262749392
90434_10671096	L2	151.838883917087
33431_3944742	L2	153.268218264101
630_74224	L2	157.564489115218
48848_5763948	L2	157.564489115218
52284_6169396	L2	157.564489115218
86687_10228950	L2	157.564489115218
92245_10884794	L2	157.564489115218
101197_11941130	L2	157.564489115218
10184_1201596	L2	164.755382325122
31808_3753228	L2	164.755382325122
61200_7221484	L2	169.053174407169
12141_1432522	L2	170.482136150473
compli_53103_6266038	L2	171.911096496472
compli_4608_543628	L2	173.340056842471
compli_1887_222550	L2	174.76901718847
compli_1913_225618	L2	174.76901718847
2545_300194	L2	174.76901718847
2894_341376	L2	174.76901718847
3581_422442	L2	174.76901718847
3992_470940	L2	174.76901718847
compli_4860_573364	L2	174.76901718847
4951_584102	L2	174.76901718847
5205_614074	L2	174.76901718847
5377_634370	L2	174.76901718847
compli_6735_794614	L2	174.76901718847
6952_820220	L2	174.76901718847
6972_822580	L2	174.76901718847
6997_825530	L2	174.76901718847
7069_834026	L2	174.76901718847
compli_7127_840870	L2	174.76901718847
7462_880400	L2	174.76901718847
7632_900460	L2	174.76901718847
9463_1116518	L2	174.76901718847
10668_1258708	L2	174.76901718847
11105_1310274	L2	174.76901718847
11124_1312516	L2	174.76901718847
12156_1434292	L2	174.76901718847
compli_12641_1491522	L2	174.76901718847
compli_12739_1503086	L2	174.76901718847
12806_1510992	L2	174.76901718847
12838_1514768	L2	174.76901718847
13593_1603858	L2	174.76901718847
compli_14719_1736726	L2	174.76901718847
15328_1808588	L2	174.76901718847
15395_1816494	L2	174.76901718847
15483_1826878	L2	174.76901718847
15508_1829828	L2	174.76901718847
15940_1880804	L2	174.76901718847
16001_1888002	L2	174.76901718847
16823_1984998	L2	174.76901718847
17355_2047774	L2	174.76901718847
17739_2093086	L2	174.76901718847
18077_2132970	L2	174.76901718847
18117_2137690	L2	174.76901718847
18725_2209434	L2	174.76901718847
19135_2257814	L2	174.76901718847
19305_2277874	L2	174.76901718847
19743_2329558	L2	174.76901718847
compli_19950_2353984	L2	174.76901718847
compli_20339_2399886	L2	174.76901718847
20583_2428678	L2	174.76901718847
20648_2436348	L2	174.76901718847
21216_2503372	L2	174.76901718847
21290_2512104	L2	174.76901718847
21327_2516470	L2	174.76901718847
22174_2616416	L2	174.76901718847
22298_2631048	L2	174.76901718847
23305_2749874	L2	174.76901718847
23848_2813948	L2	174.76901718847
24477_2888170	L2	174.76901718847
24520_2893244	L2	174.76901718847
24791_2925222	L2	174.76901718847
25032_2953660	L2	174.76901718847
26647_3144230	L2	174.76901718847
26738_3154968	L2	174.76901718847
27387_3231550	L2	174.76901718847
27545_3250194	L2	174.76901718847
27654_3263056	L2	174.76901718847
compli_27859_3287246	L2	174.76901718847
27899_3291966	L2	174.76901718847
27962_3299400	L2	174.76901718847
28850_3404184	L2	174.76901718847
30136_3555932	L2	174.76901718847
31506_3717592	L2	174.76901718847
compli_32591_3845622	L2	174.76901718847
32998_3893648	L2	174.76901718847
compli_34758_4101328	L2	174.76901718847
35340_4170004	L2	174.76901718847
36439_4299686	L2	174.76901718847
38600_4554684	L2	174.76901718847
compli_38704_4566956	L2	174.76901718847
40369_4763426	L2	174.76901718847
41261_4868682	L2	174.76901718847
41861_4939482	L2	174.76901718847
42384_5001196	L2	174.76901718847
42435_5007214	L2	174.76901718847
