marker	LG	pos
compli_26449_3120866	L2	0
compli_86889_10252786	L2	0
compli_30080_3549324	L2	5.94973630239712
compli_30561_3606082	L2	5.94973630239712
compli_37547_4430430	L2	5.94973630239712
compli_61794_7291576	L2	5.94973630239712
compli_36510_4308064	L2	12.0670454427785
compli_36930_4357624	L2	12.0670454427785
17963_2119518	L2	18.1607135761431
19419_2291326	L2	18.1607135761431
107325_12664234	L2	18.1607135761431
53132_6269460	L2	24.2120219841652
56160_6626764	L2	24.2120219841652
33320_3931644	L2	24.2120219841652
82311_9712582	L2	32.8736063595821
15279_1802806	L2	41.1148711864683
68622_8097280	L2	41.1148711864683
99078_11691088	L2	41.1148711864683
compli_6_592	L2	49.0013522553459
compli_8314_980936	L2	49.0013522553459
compli_23835_2812414	L2	49.0013522553459
38239_4512086	L2	49.0013522553459
compli_39155_4620174	L2	49.0013522553459
compli_46529_5490306	L2	49.0013522553459
compli_54010_6373064	L2	49.0013522553459
57680_6806124	L2	49.0013522553459
compli_89305_10537874	L2	49.0013522553459
compli_96607_11399510	L2	49.0013522553459
compli_108581_12812442	L2	49.0013522553459
47337_5585650	L2	53.4424599189296
compli_81210_9582664	L2	63.0458318331031
55398_6536848	L2	65.8355875400599
compli_89295_10536694	L4	0
compli_98716_11648372	L4	0
16566_1954672	L4	12.5367222776553
37098_4377448	L4	16.5839081250242
56316_6645172	L4	16.5839081250242
99675_11761534	L4	16.5839081250242
compli_11350_1339184	L4	28.3534055136332
compli_79110_9334864	L4	28.3534055136332
compli_2451_289102	L4	37.7169186119612
compli_6478_764288	L4	37.7169186119612
compli_12884_1520196	L4	37.7169186119612
compli_14413_1700618	L4	37.7169186119612
compli_21208_2502428	L4	37.7169186119612
compli_26541_3131722	L4	37.7169186119612
compli_34904_4118556	L4	37.7169186119612
compli_42044_4961076	L4	37.7169186119612
compli_51368_6061308	L4	37.7169186119612
compli_76869_9070426	L4	37.7169186119612
compli_78196_9227012	L4	37.7169186119612
compli_85933_10139978	L4	37.7169186119612
compli_88322_10421880	L4	37.7169186119612
compli_88443_10436158	L4	37.7169186119612
compli_9276_1094452	L4	47.9268583727404
compli_12007_1416710	L4	47.9268583727404
compli_20461_2414282	L4	47.9268583727404
compli_97570_11513144	L4	47.9268583727404
compli_31268_3689508	L4	47.9268583727404
compli_17707_2089310	L4	58.90179244135
compli_23095_2725094	L4	65.9430220016232
compli_47947_5657630	L4	65.9430220016232
compli_90718_10704608	L4	65.9430220016232
compli_96005_11328474	L4	76.2480605367945
compli_8796_1037812	L4	83.872702084173
compli_22629_2670106	L4	83.872702084173
compli_27888_3290668	L4	83.872702084173
compli_32481_3832642	L4	83.872702084173
compli_105346_12430712	L4	83.872702084173
compli_3328_392588	L4	83.872702084173
compli_83337_9833650	L4	83.872702084173
compli_8245_972794	L4	83.872702084173
compli_35697_4212130	L4	83.872702084173
compli_107810_12721464	L4	83.872702084173
compli_97805_11540874	L4	95.7188451198822
compli_28589_3373386	L4	108.957694590832
compli_29409_3470146	L4	108.957694590832
compli_88889_10488786	L4	108.957694590832
compli_75296_8884812	L4	119.896369157705
24506_2891592	L4	125.233397506038
compli_13737_1620850	L4	132.901257722116
compli_15419_1819326	L4	132.901257722116
53220_6279844	L4	132.901257722116
compli_83686_9874832	L4	132.901257722116
94189_11114186	L4	132.901257722116
compli_95912_11317500	L4	132.901257722116
96574_11395616	L4	132.901257722116
compli_20455_2413574	L4	151.653258143587
49446_5834512	L4	161.080105806068
compli_23_2598	L4	166.896178968931
compli_7979_941406	L4	166.896178968931
compli_10708_1263428	L4	166.896178968931
compli_13411_1582382	L4	166.896178968931
compli_18560_2189964	L4	166.896178968931
compli_18877_2227370	L4	166.896178968931
22393_2642258	L4	166.896178968931
28158_3322528	L4	166.896178968931
32021_3778362	L4	166.896178968931
61823_7294998	L4	166.896178968931
69039_8146486	L4	166.896178968931
73317_8651290	L4	166.896178968931
99531_11744542	L4	166.896178968931
94296_11126812	L4	172.65152324363
compli_15346_1810712	L4	181.133078372208
compli_23757_2803210	L4	181.133078372208
32246_3804912	L4	181.133078372208
compli_92874_10959016	L4	181.133078372208
98258_11594328	L4	181.133078372208
compli_15238_1797968	L4	184.925351579971
100131_11815342	L4	190.54600638774
compli_91496_10796412	L4	196.336527220291
compli_84612_9984100	L4	202.15911890372
82826_9773352	L4	208.303127044224
40264_4751036	L4	214.940473774794
80159_9458646	L4	214.940473774794
compli_88894_10489376	L4	214.940473774794
89323_10539998	L4	214.940473774794
compli_93103_10986038	L4	214.940473774794
25533_3012778	L4	221.404282079765
100209_11824546	L4	241.234786374543
105758_12479328	L4	241.234786374543
compli_9780_1153924	L4	256.53069127227
2462_290400	L4	256.53069127227
7771_916862	L4	256.53069127227
19642_2317640	L4	256.53069127227
32164_3795236	L4	256.53069127227
compli_44282_5225160	L4	256.53069127227
63959_7547046	L4	256.53069127227
74027_8735070	L4	256.53069127227
81172_9578180	L4	256.53069127227
compli_85678_10109888	L4	256.53069127227
86846_10247712	L4	256.53069127227
compli_90841_10719122	L4	256.53069127227
compli_80607_9511510	L4	265.602301850897
compli_34586_4081032	L6	0
compli_84431_9962742	L6	0
compli_33160_3912764	L6	7.20400145514745
18426_2174152	L6	17.1690748145023
18504_2183356	L6	22.6488508040497
2367_279190	L6	27.609193146005
17960_2119164	L6	34.327631453281
36184_4269596	L6	42.4070024623215
100512_11860300	L6	42.4070024623215
11215_1323254	L6	50.2691428321567
100988_11916468	L6	50.2691428321567
31214_3683136	L6	57.3819199083643
77919_9194326	L6	63.8644328341409
96499_11386766	L6	68.9546105041644
compli_14756_1741092	L6	74.3900212681091
17114_2019336	L6	74.3900212681091
55285_6523514	L6	74.3900212681091
59754_7050856	L6	74.3900212681091
87947_10377630	L6	74.3900212681091
compli_95964_11323636	L6	74.3900212681091
104549_12336666	L6	74.3900212681091
65358_7712128	L6	74.3900212681091
compli_31071_3666262	L6	83.8337025818011
compli_10070_1188144	L6	89.4143171733187
78929_9313506	L6	89.4143171733187
83433_9844978	L6	89.4143171733187
84674_9991416	L6	89.4143171733187
89698_10584248	L6	89.4143171733187
compli_92172_10876180	L6	89.4143171733187
compli_61_7082	L6	97.8978227769053
compli_20601_2430802	L6	101.260270159135
24847_2931830	L6	101.260270159135
77802_9180520	L6	101.260270159135
103626_12227752	L6	101.260270159135
41475_4893934	L6	103.665958947449
100642_11875640	L6	110.48916229128
60442_7132040	L8	0
compli_3847_453830	L8	4.82934841221438
57870_6828544	L8	4.82934841221438
