marker	LG	pos
compli_26449_3120866	L2	0
compli_86889_10252786	L2	0
compli_30080_3549324	L2	6.23946544805524
compli_61794_7291576	L2	6.23946544805524
compli_30561_3606082	L2	6.23946544805524
compli_37547_4430430	L2	6.23946544805524
compli_36510_4308064	L2	12.4992951384213
compli_36930_4357624	L2	12.4992951384213
17963_2119518	L2	18.6355184735227
19419_2291326	L2	18.6355184735227
107325_12664234	L2	18.6355184735227
53132_6269460	L2	24.6852552642064
56160_6626764	L2	24.6852552642064
33320_3931644	L2	24.6852552642064
82311_9712582	L2	33.4744399891369
15279_1802806	L2	41.952042558819
68622_8097280	L2	41.952042558819
99078_11691088	L2	41.952042558819
47337_5585650	L2	49.2749021656079
compli_6_592	L2	53.6197909213053
compli_8314_980936	L2	53.6197909213053
compli_23835_2812414	L2	53.6197909213053
38239_4512086	L2	53.6197909213053
compli_39155_4620174	L2	53.6197909213053
compli_46529_5490306	L2	53.6197909213053
compli_54010_6373064	L2	53.6197909213053
57680_6806124	L2	53.6197909213053
compli_89305_10537874	L2	53.6197909213053
compli_96607_11399510	L2	53.6197909213053
compli_108581_12812442	L2	53.6197909213053
compli_11350_1339184	L4	0
compli_79110_9334864	L4	0
37098_4377448	L4	11.626025980339
56316_6645172	L4	11.626025980339
99675_11761534	L4	11.626025980339
16566_1954672	L4	15.5362030405508
compli_89295_10536694	L4	27.087995986514
compli_98716_11648372	L4	27.087995986514
compli_51368_6061308	L4	34.872266549265
compli_88322_10421880	L4	39.3628262492554
compli_6478_764288	L4	43.7594854938333
compli_12884_1520196	L4	43.7594854938333
compli_14413_1700618	L4	43.7594854938333
compli_21208_2502428	L4	43.7594854938333
compli_76869_9070426	L4	43.7594854938333
compli_78196_9227012	L4	43.7594854938333
compli_2451_289102	L4	43.7594854938333
compli_26541_3131722	L4	43.7594854938333
compli_34904_4118556	L4	43.7594854938333
compli_42044_4961076	L4	43.7594854938333
compli_85933_10139978	L4	43.7594854938333
compli_88443_10436158	L4	43.7594854938333
compli_9276_1094452	L4	52.5425893514163
compli_12007_1416710	L4	52.5425893514163
compli_20461_2414282	L4	52.5425893514163
compli_31268_3689508	L4	52.5425893514163
compli_97570_11513144	L4	52.5425893514163
compli_23095_2725094	L4	62.3966302542078
compli_47947_5657630	L4	62.3966302542078
compli_90718_10704608	L4	62.3966302542078
compli_17707_2089310	L4	68.6243009786227
compli_96005_11328474	L4	77.1449619591635
compli_8245_972794	L4	82.522734616815
compli_35697_4212130	L4	82.522734616815
compli_107810_12721464	L4	82.522734616815
compli_32481_3832642	L4	92.0342948280927
compli_105346_12430712	L4	92.0342948280927
compli_3328_392588	L4	92.0342948280927
compli_83337_9833650	L4	92.0342948280927
compli_8796_1037812	L4	92.0342948280927
compli_22629_2670106	L4	92.0342948280927
compli_27888_3290668	L4	92.0342948280927
compli_97805_11540874	L4	101.09599664522
compli_28589_3373386	L4	113.39679344367
compli_29409_3470146	L4	113.39679344367
compli_88889_10488786	L4	113.39679344367
24506_2891592	L4	121.482988032461
compli_75296_8884812	L4	123.937463514514
compli_15419_1819326	L4	126.86169993736
53220_6279844	L4	126.86169993736
compli_83686_9874832	L4	126.86169993736
94189_11114186	L4	126.86169993736
compli_95912_11317500	L4	126.86169993736
96574_11395616	L4	126.86169993736
compli_13737_1620850	L4	126.86169993736
compli_20455_2413574	L4	145.218415523869
49446_5834512	L4	154.650481537004
compli_23_2598	L4	160.474401794085
compli_7979_941406	L4	160.474401794085
compli_10708_1263428	L4	160.474401794085
compli_13411_1582382	L4	160.474401794085
compli_18560_2189964	L4	160.474401794085
compli_18877_2227370	L4	160.474401794085
22393_2642258	L4	160.474401794085
28158_3322528	L4	160.474401794085
32021_3778362	L4	160.474401794085
61823_7294998	L4	160.474401794085
69039_8146486	L4	160.474401794085
73317_8651290	L4	160.474401794085
99531_11744542	L4	160.474401794085
94296_11126812	L4	166.246238460522
compli_15346_1810712	L4	174.751899526559
compli_23757_2803210	L4	174.751899526559
32246_3804912	L4	174.751899526559
compli_92874_10959016	L4	174.751899526559
98258_11594328	L4	174.751899526559
compli_15238_1797968	L4	178.564749752807
100131_11815342	L4	184.380726717232
compli_91496_10796412	L4	190.230392484965
compli_84612_9984100	L4	196.130858679072
82826_9773352	L4	202.387382762182
40264_4751036	L4	208.922527435645
80159_9458646	L4	208.922527435645
compli_88894_10489376	L4	208.922527435645
89323_10539998	L4	208.922527435645
compli_93103_10986038	L4	208.922527435645
25533_3012778	L4	215.253625198689
compli_34586_4081032	L6	0
compli_84431_9962742	L6	0
compli_33160_3912764	L6	6.79998021300078
18426_2174152	L6	16.6663775841363
18504_2183356	L6	21.376731036008
2367_279190	L6	25.5507648177011
17960_2119164	L6	28.2195427457861
100512_11860300	L6	33.7332328446543
36184_4269596	L6	33.7332328446543
11215_1323254	L6	38.8712057426583
100988_11916468	L6	38.8712057426583
31214_3683136	L6	46.4592967226705
77919_9194326	L6	52.5261235166472
96499_11386766	L6	57.386740108161
17114_2019336	L6	62.6352003689939
59754_7050856	L6	62.6352003689939
87947_10377630	L6	62.6352003689939
compli_95964_11323636	L6	62.6352003689939
104549_12336666	L6	62.6352003689939
65358_7712128	L6	62.6352003689939
compli_14756_1741092	L6	62.6352003689939
55285_6523514	L6	62.6352003689939
compli_31071_3666262	L6	72.0785054088088
compli_10070_1188144	L6	77.7927753141222
78929_9313506	L6	77.7927753141222
83433_9844978	L6	77.7927753141222
84674_9991416	L6	77.7927753141222
89698_10584248	L6	77.7927753141222
compli_92172_10876180	L6	77.7927753141222
41475_4893934	L6	85.6566685759916
compli_20601_2430802	L6	87.8735687295291
24847_2931830	L6	87.8735687295291
77802_9180520	L6	87.8735687295291
103626_12227752	L6	87.8735687295291
compli_61_7082	L6	91.2465217857997
compli_86832_10246060	L14	0
compli_3669_432826	L14	2.73902927312353
compli_17499_2064766	L14	2.73902927312353
compli_29527_3484070	L14	2.73902927312353
compli_30648_3616348	L14	2.73902927312353
compli_41955_4950574	L14	2.73902927312353
compli_46216_5453372	L14	2.73902927312353
compli_86871_10250662	L14	2.73902927312353
compli_87962_10379400	L14	2.73902927312353
compli_103394_12200376	L14	2.73902927312353
compli_103683_12234478	L14	2.73902927312353
compli_105881_12493842	L14	2.73902927312353
compli_56958_6720928	L14	2.73902927312353
compli_76313_9004818	L14	2.73902927312353
compli_97162_11465000	L14	2.73902927312353
compli_105895_12495494	L14	5.45615431323684
compli_72943_8607158	L14	7.79694462160819
compli_11213_1323018	L14	13.7935992483209
