marker	LG	pos
35925_4239034	L4	0
64257_7582210	L4	0
3982_469760	L4	0
57556_6791492	L4	7.33310032474804
compli_71018_8380008	L4	14.6703818847387
compli_86687_10228950	L4	14.6703818847387
4951_584102	L4	22.6780743574676
6659_785646	L4	22.6780743574676
7632_900460	L4	22.6780743574676
9463_1116518	L4	22.6780743574676
14731_1738142	L4	22.6780743574676
17739_2093086	L4	22.6780743574676
18153_2141938	L4	22.6780743574676
31897_3763730	L4	22.6780743574676
33195_3916894	L4	22.6780743574676
36439_4299686	L4	22.6780743574676
74307_8768110	L4	22.6780743574676
77917_9194090	L4	22.6780743574676
84542_9975840	L4	22.6780743574676
84580_9980324	L4	22.6780743574676
96457_11381810	L4	22.6780743574676
16759_1977446	L4	29.3036411221101
2894_341376	L4	36.0846723954494
7796_919812	L4	36.0846723954494
12082_1425560	L4	36.0846723954494
24473_2887698	L4	36.0846723954494
39622_4675280	L4	36.0846723954494
105940_12500804	L4	36.0846723954494
46525_5489834	L4	36.0846723954494
54272_6403980	L4	36.0846723954494
30445_3592394	L4	40.0177563382152
compli_42985_5072114	L4	40.2221770523596
21605_2549274	L4	40.6433484001587
28014_3305536	L4	41.30001480601
18100_2135684	L4	42.2104749232479
75497_8908530	L4	43.4651828630306
91126_10752752	L4	44.8004397218138
87289_10299986	L4	46.1440752205861
compli_40462_4774400	L4	51.0788011791435
compli_82397_9722730	L4	51.0788011791435
compli_1566_184672	L4	56.0122885255277
3992_470940	L4	56.0122885255277
compli_4753_560738	L4	56.0122885255277
7770_916744	L4	56.0122885255277
10550_1244784	L4	56.0122885255277
10995_1297294	L4	56.0122885255277
12838_1514768	L4	56.0122885255277
12896_1521612	L4	56.0122885255277
13280_1566924	L4	56.0122885255277
compli_13370_1577544	L4	56.0122885255277
13465_1588754	L4	56.0122885255277
13593_1603858	L4	56.0122885255277
compli_14565_1718554	L4	56.0122885255277
14719_1736726	L4	56.0122885255277
15229_1796906	L4	56.0122885255277
15360_1812364	L4	56.0122885255277
15508_1829828	L4	56.0122885255277
16001_1888002	L4	56.0122885255277
17249_2035266	L4	56.0122885255277
17668_2084708	L4	56.0122885255277
19135_2257814	L4	56.0122885255277
compli_19644_2317876	L4	56.0122885255277
compli_19862_2343600	L4	56.0122885255277
20583_2428678	L4	56.0122885255277
compli_21286_2511632	L4	56.0122885255277
21327_2516470	L4	56.0122885255277
21403_2525438	L4	56.0122885255277
21557_2543610	L4	56.0122885255277
compli_22647_2672230	L4	56.0122885255277
23037_2718250	L4	56.0122885255277
23133_2729578	L4	56.0122885255277
23299_2749166	L4	56.0122885255277
23848_2813948	L4	56.0122885255277
25032_2953660	L4	56.0122885255277
25661_3027882	L4	56.0122885255277
26037_3072250	L4	56.0122885255277
26738_3154968	L4	56.0122885255277
28161_3322882	L4	56.0122885255277
compli_29271_3453862	L4	56.0122885255277
compli_29802_3516520	L4	56.0122885255277
30136_3555932	L4	56.0122885255277
31272_3689980	L4	56.0122885255277
compli_31391_3704022	L4	56.0122885255277
31506_3717592	L4	56.0122885255277
32636_3850932	L4	56.0122885255277
32918_3884208	L4	56.0122885255277
33170_3913944	L4	56.0122885255277
33887_3998550	L4	56.0122885255277
35340_4170004	L4	56.0122885255277
compli_36072_4256380	L4	56.0122885255277
36191_4270422	L4	56.0122885255277
compli_37252_4395620	L4	56.0122885255277
37259_4396446	L4	56.0122885255277
compli_37529_4428306	L4	56.0122885255277
38445_4536394	L4	56.0122885255277
38600_4554684	L4	56.0122885255277
39013_4603418	L4	56.0122885255277
compli_40372_4763780	L4	56.0122885255277
40664_4798236	L4	56.0122885255277
compli_43925_5183034	L4	56.0122885255277
44009_5192946	L4	56.0122885255277
compli_44197_5215130	L4	56.0122885255277
44779_5283806	L4	56.0122885255277
45620_5383044	L4	56.0122885255277
compli_45846_5409712	L4	56.0122885255277
46657_5505410	L4	56.0122885255277
46809_5523346	L4	56.0122885255277
47203_5569838	L4	56.0122885255277
47452_5599220	L4	56.0122885255277
47835_5644414	L4	56.0122885255277
compli_48286_5697632	L4	56.0122885255277
49827_5879470	L4	56.0122885255277
51632_6092460	L4	56.0122885255277
51742_6105440	L4	56.0122885255277
compli_51806_6112992	L4	56.0122885255277
compli_52165_6155354	L4	56.0122885255277
52289_6169986	L4	56.0122885255277
compli_53632_6328460	L4	56.0122885255277
53767_6344390	L4	56.0122885255277
54336_6411532	L4	56.0122885255277
compli_55320_6527644	L4	56.0122885255277
compli_55601_6560802	L4	56.0122885255277
55928_6599388	L4	56.0122885255277
56829_6705706	L4	56.0122885255277
57993_6843058	L4	56.0122885255277
compli_59755_7050974	L4	56.0122885255277
compli_62535_7379014	L4	56.0122885255277
compli_62918_7424208	L4	56.0122885255277
compli_63654_7511056	L4	56.0122885255277
65116_7683572	L4	56.0122885255277
compli_65367_7713190	L4	56.0122885255277
66691_7869422	L4	56.0122885255277
66855_7888774	L4	56.0122885255277
compli_68891_8129022	L4	56.0122885255277
compli_69994_8259176	L4	56.0122885255277
74564_8798436	L4	56.0122885255277
75626_8923752	L4	56.0122885255277
compli_75714_8934136	L4	56.0122885255277
76424_9017916	L4	56.0122885255277
76528_9030188	L4	56.0122885255277
76815_9064054	L4	56.0122885255277
77064_9093436	L4	56.0122885255277
78076_9212852	L4	56.0122885255277
78090_9214504	L4	56.0122885255277
compli_78158_9222528	L4	56.0122885255277
78677_9283770	L4	56.0122885255277
79302_9357520	L4	56.0122885255277
81643_9633758	L4	56.0122885255277
81979_9673406	L4	56.0122885255277
82002_9676120	L4	56.0122885255277
compli_82433_9726978	L4	56.0122885255277
compli_82512_9736300	L4	56.0122885255277
82859_9777246	L4	56.0122885255277
84123_9926398	L4	56.0122885255277
compli_84318_9949408	L4	56.0122885255277
84543_9975958	L4	56.0122885255277
86869_10250426	L4	56.0122885255277
86935_10258214	L4	56.0122885255277
compli_88086_10394032	L4	56.0122885255277
compli_88406_10431792	L4	56.0122885255277
compli_88444_10436276	L4	56.0122885255277
90120_10634044	L4	56.0122885255277
90295_10654694	L4	56.0122885255277
90817_10716290	L4	56.0122885255277
91153_10755938	L4	56.0122885255277
91749_10826266	L4	56.0122885255277
91915_10845854	L4	56.0122885255277
92044_10861076	L4	56.0122885255277
93052_10980020	L4	56.0122885255277
compli_93244_11002676	L4	56.0122885255277
93814_11069936	L4	56.0122885255277
95406_11257792	L4	56.0122885255277
compli_95596_11280212	L4	56.0122885255277
95981_11325642	L4	56.0122885255277
96135_11343814	L4	56.0122885255277
compli_96211_11352782	L4	56.0122885255277
97703_11528838	L4	56.0122885255277
compli_97981_11561642	L4	56.0122885255277
98100_11575684	L4	56.0122885255277
compli_99301_11717402	L4	56.0122885255277
99494_11740176	L4	56.0122885255277
compli_99752_11770620	L4	56.0122885255277
100982_11915760	L4	56.0122885255277
compli_101463_11972518	L4	56.0122885255277
103302_12189520	L4	56.0122885255277
compli_105414_12438736	L4	56.0122885255277
106527_12570070	L4	56.0122885255277
compli_107110_12638864	L4	56.0122885255277
107657_12703410	L4	56.0122885255277
107942_12737040	L4	56.0122885255277
108735_12830614	L4	56.0122885255277
108865_12845954	L4	56.0122885255277
compli_109219_12887726	L4	56.0122885255277
compli_109271_12893862	L4	56.0122885255277
109554_12927256	L4	56.0122885255277
compli_105972_12504580	L4	57.3597843251062
75305_8885874	L4	58.7151422063473
compli_39050_4607784	L4	60.0745868659376
compli_23502_2773120	L4	61.4333554415448
70469_8315226	L4	66.3810223789713
